PLOTID;VISIT_NBR;STATECD;UNITCD;COUNTYCD;RETIRED_PLOT;SUBP;CONDID;TREE;STEM;OFFSET_POINT;DIST;AZIMUTH;STATUSCD;TREECLCD;TPA_UNADJ;SPCD;SPGRPCD;STANDING_DEAD_CD;MORTYR;DIA;DIACHECK;DIAHTCD;LTDMP;TOTAL_LENGTH;ACTUAL_LENGTH;HTCD;ABNORMAL_STEM_TERMINATION;RECONCILECD;BOLE_STUMP_REMOVED;FIELD_PREV_DIA;FIELD_PREV_STATUS_CD;FIELD_PREV_NBR_STEMS;CROWN_DIEBACK_CD;CROWN_LIGHT_EXPOSURE;UNCOMP_CROWN_RATIO;CROWN_DIA_WIDE;CROWN_DIA_90;FOLIAGE_ABSENT;CROWN_CLASS_CD;COMP_CROWN_RATIO;IS_MAINTAINED_AREA;IS_RIPARIAN;IS_STREET_TREE;IS_PLANTED;DMG_ROOT_STEM_GIRDLING;DMG_TRUNK_BARK_INCLUSION;DMG_TOPPING_PRUNING;DMG_EXCESS_MULCH;DMG_SIDEWALK_ROOT_CONFLICT;DMG_OVERHEAD_WIRES;DMG_IMPROPER_PLANTING;DAMAGE_AGENT_1;DAMAGE_AGENT_2;DAMAGE_AGENT_3;NBR_STEMS;CULL_FLD;CAUSE_OF_DEATH;DECAYCD;MORTALITY_CD;TREECLCD_NRS;TREECLCD_SRS;TREECLCD_PNWRS;TREECLCD_RMRS;TREE_GRADE;MOTHER_TREE;BASAL_AREA;BF_GROSS_SAWLOG_VOLUME;BF_NET_SAWLOG_VOLUME;CF_GROSS_SAWLOG_VOLUME;CF_GROSS_VOLUME;CF_NET_SAWLOG_VOLUME;CF_NET_VOLUME;CF_SND_SAWLOG_VOLUME;CF_SND_VOLUME;DRY_TOT_BIOMASS;DRY_MERCH_BIOMASS;BOLE_BIOMASS;STUMP_BIOMASS;TOP_BIOMASS;SAWLOG_BIOMASS;SAPLING_BIOMASS;WDLD_BIOMASS;BG_BIOMASS;AG_CARBON;BG_CARBON;CN;PLT_CN;SBP_CN;CND_CN;MTRE_CN;PREV_PLT_CN;PREV_TRE_CN;TREE_SITE_INDEX
1114719;1;48;5;453;196;1;1;11;11;0;36.9;63;1;3;6.018046285662292;973;41;;;06.mar;0;1;04.sie;26;;1;;;;;;;5;1;90;16.0;14.0;27;4;45;0;0;;;;;;;;;;22500;;;;3;;;;;3;;;;;0.21646926;;;;1.73132032;;1.6793807104;;1.6793807104;70.32825202413703;50.454123259606185;68.43006168281087;8.408701780128487;26.71464622682731;;;;20.58719760451099;51.776704844883334;10.293598802255495;144849;2,51083E+14;144830;144829;4,88915E+14;;;
1114719;1;48;5;453;196;1;1;12;12;0;16.cze;90;2;3;6.018046285662292;973;41;1;;05.wrz;0;1;;23;;1;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;9;;1;;;;;;;;0.18985374;;;;1.30848564;;1.1907219324;;1.1907219324;53.874180281437205;34.692349621084034;47.27751350513454;6.278430680275609;19.699910323075688;;;;14.943303569245188;36.62792725424292;7.471651784622594;144850;2,51083E+14;144830;144829;4,88915E+14;;;
1114719;1;48;5;453;196;1;1;13;13;0;40.7;91;1;3;6.018046285662292;973;41;;;07.mar;0;1;;30;;1;;;;;;;5;2;60;18.0;13.0;15;3;40;0;0;;;;;;;;;;22500;23000;;;7;;;;;3;;;;;0.29064366;;;;2.7673576;;2.573642568;;2.573642568;111.37163453837773;81.75033510550918;104.8687284468096;11.52365243254697;36.18626704354906;;;;30.085701903628518;76.28932396145281;15.042850951814259;144851;2,51083E+14;144830;144829;4,88915E+14;;;
1114719;1;48;5;453;196;1;1;14;14;0;37.3;93;1;3;6.018046285662292;522;43;;;06.lut;0;1;04.kwi;21;;1;;;;;;;0;0;50;17.0;17.0;5;4;40;0;0;;;;;;;;;;22500;;;;5;;;;;3;;;;;0.20965176;;;;1.15583644;;1.098044618;;1.098044618;71.15528129554548;46.49237498113982;48.990358676688;6.6297368659335225;18.858530549249462;;;;14.821297813734162;37.23931304593549;7.410648906867081;144852;2,51083E+14;144830;144829;4,88915E+14;;;
1114719;1;48;5;453;196;1;1;15;0;0;23.mar;113;2;3;6.018046285662292;756;48;1;;05.wrz;0;2;;18;;1;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;2;20;;3;;;;;;;;0.18985374;;;;1.251614959496;;1.0012919675968;;1.0012919675968;90.00242251196578;43.11162695684782;;;;;;47.516510580699666;9.48533778154182;23.758255290349833;4.74266889077091;144853;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;16;0;0;39.7;116;1;3;6.018046285662292;61;23;;;16.lip;0;2;;34;;1;;;;;;;5;4;55;27.0;25.0;20;3;42;0;0;;;;;;;;;;;;;1;0;;;;;3;;;;;1.52106606;;;;29.03407005521234;;29.03407005521234;;29.03407005521234;995.0880587934529;770.9866677362197;;;;;;804.406331321691;181.85435356390136;402.2031656608455;90.92717678195068;144854;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;17;0;0;17.maj;120;1;3;6.018046285662292;61;23;;;08.lip;0;2;;32;;1;;;;;;;5;1;45;12.0;11.0;15;3;20;0;0;;;;;;;;;;;;;1;0;;;;;3;;;;;0.41281326;;;;5.92576076793856;;5.92576076793856;;5.92576076793856;235.93508473595648;145.24193884613692;;;;;;164.17675753219856;37.88822605892323;82.08837876609928;18.944113029461615;144855;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;18;0;0;26.kwi;128;1;3;6.018046285662292;61;23;;;12.mar;0;2;;32;;1;;;;;;;5;1;50;20.0;19.0;15;3;26;0;0;;;;;;;;;;;;;1;0;;;;;3;;;;;0.82513566;;;;13.57936577038336;;13.57936577038336;;13.57936577038336;508.54535663434325;348.60277918639935;;;;;;376.2244762879332;85.7317382258727;188.1122381439666;42.86586911293635;144856;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;19;0;0;30.2;128;2;3;6.018046285662292;61;23;1;;05.sty;0;2;;29;;1;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;1;3;;1;;;;;;;;0.14185854;;;;1.64046742895614;;1.5912534060874557;;1.5912534060874557;73.58637576253993;35.45039785804314;;;;;;44.086630367696614;10.500983568646891;22.043315183848307;5.2504917843234455;144857;2,51083E+14;144830;144829;;;;
1114719;1;48;5;453;196;1;1;20;20;0;39.9;136;1;3;6.018046285662292;973;41;;;06.sty;0;1;;29;;1;;;;;;;5;1;90;10.0;9.0;10;4;38;0;0;;;;;;;;;;22500;;;;9;;;;;3;;;;;0.20294334;;;;1.81751052;;1.6539345732;;1.6539345732;73.70652256651512;48.61525439301478;67.39320284109505;8.493278140132775;27.058455473835597;;;;20.506689502541505;51.47246822753171;10.253344751270753;144858;2,51083E+14;144830;144829;4,88915E+14;;;
